at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16,at17,at18,at19,at20,at21,at22,at23,at24,at25,at26,at27,at28,at29,at30,at31,target
0.57143,0.14286,1.0,0.5,0.6,1,1,0.2,0.16667,0.5,0.8333299999999999,0,1.0,0.095238,0.66304,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.20863,1
0.57143,0.14286,0.66667,0.6,0.5,1,1,1.0,1.0,0.0,1.0,0,1.0,0.095238,0.92391,0.020408000000000003,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.20923000000000003,1
0.71429,0.28570999999999996,0.0,0.8,0.9,0,1,0.8,0.5,0.0,1.0,0,1.0,0.19047999999999998,0.41303999999999996,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.20968,0
0.85714,0.28570999999999996,0.33333,0.3,0.4,1,1,0.7,0.16667,0.5,1.0,0,1.0,0.047619,0.63043,0.020408000000000003,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20973000000000003,0
0.42857,0.14286,0.66667,0.6,0.0,1,1,0.6,0.5,0.25,0.8333299999999999,0,1.0,0.095238,0.8804299999999999,0.020408000000000003,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21001999999999998,1
1.0,0.14286,0.66667,0.4,0.5,1,1,0.9,0.33333,0.25,1.0,0,1.0,0.14286,0.8587,0.020408000000000003,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2102,1
0.28570999999999996,0.0,0.33333,0.4,0.4,0,1,0.8,0.8333299999999999,0.0,1.0,0,1.0,0.095238,0.9347799999999999,0.020408000000000003,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21049,0
0.14286,0.14286,0.33333,0.9,0.1,1,1,1.0,1.0,0.0,1.0,0,1.0,0.0,0.77174,0.051019999999999996,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21051,0
0.57143,0.14286,0.0,0.0,0.0,0,0,1.0,1.0,0.25,1.0,0,1.0,0.14286,0.61957,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21051,0
0.71429,0.28570999999999996,0.33333,0.8,0.8,0,1,0.8,0.8333299999999999,0.0,0.8333299999999999,0,1.0,0.19047999999999998,0.67391,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21054,0
0.85714,0.57143,0.33333,0.3,0.0,1,1,1.0,1.0,0.0,0.16667,0,1.0,0.0,0.5,0.051019999999999996,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.21056,0
1.0,0.28570999999999996,1.0,0.5,0.1,0,1,1.0,0.0,0.5,0.16667,0,0.8,0.047619,0.3913,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21058000000000002,1
0.85714,0.28570999999999996,0.66667,0.0,0.0,1,1,0.9,0.5,0.25,1.0,0,0.4,0.14286,0.75,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21058000000000002,1
0.42857,0.28570999999999996,0.33333,0.2,0.6,0,1,0.8,0.33333,0.25,1.0,0,1.0,0.047619,0.53261,0.010204000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21061999999999997,0
0.71429,0.28570999999999996,0.0,0.5,0.7,1,1,0.7,0.16667,0.5,1.0,0,1.0,0.047619,0.34783000000000003,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21061999999999997,0
