at1,at2,at3,at4,at5,at6,at7,at8,target
0,1289,906,383,0,1,0,3,1
0,1168,1424,-256,0,1,0,3,0
0,1266,1018,248,0,1,0,3,1
0,1332,1124,208,0,1,0,3,1
1,1348,852,496,0,1,0,3,1
0,1418,1307,111,0,1,0,3,1
0,1355,1459,-104,0,1,0,3,0
1,1335,1668,-333,0,1,0,3,0
0,1428,1609,-181,0,1,0,3,1
0,1465,1318,147,0,1,0,3,1
1,1513,1485,28,0,1,0,3,1
1,1560,1558,2,0,1,0,3,1
0,1583,1272,311,0,1,0,3,1
1,1596,1330,266,0,1,0,3,1
1,1601,1112,489,0,1,0,3,1
0,1555,1435,120,0,1,0,3,0
0,1567,1296,271,0,1,0,1,1
0,1544,1638,-94,0,1,0,3,0
0,1571,1545,26,0,1,0,3,1
0,1596,1562,34,0,1,0,3,1
0,1608,1391,217,0,1,0,3,1
1,1614,1151,463,0,1,0,3,1
1,1630,1498,132,0,1,0,3,1
1,1646,1530,116,0,1,0,3,1
0,1647,945,702,0,1,0,3,1
1,1654,1341,313,0,1,0,3,1
0,1660,1660,0,0,1,0,5,1
1,1674,1538,136,0,1,0,3,1
1,1649,1589,60,0,1,0,3,0
1,1632,1687,-55,0,1,0,3,0
1,1655,1733,-78,0,1,0,3,1
1,1639,1708,-69,0,1,0,3,0
1,1645,1315,330,0,1,0,3,1
0,1659,1581,78,0,1,0,3,1
1,1649,1812,-163,0,1,0,3,0
1,1660,1535,125,0,1,0,3,1
0,1679,1731,-52,0,1,0,3,1
1,1688,1518,170,0,1,0,3,1
0,1668,1585,83,0,1,0,3,0
1,1650,1608,42,0,1,0,3,0
1,1633,1621,12,0,1,0,3,0
0,1640,1409,231,0,1,0,3,1
1,1646,1402,244,0,1,0,3,1
0,1623,1449,174,0,1,0,3,0
1,1633,1491,142,0,1,0,3,1
1,1648,1618,30,0,1,0,3,1
1,1634,1660,-26,0,1,0,7,0
0,1640,1392,248,0,1,0,3,1
1,1626,1644,-18,0,1,0,3,0
0,1618,1797,-179,0,1,0,3,0
0,1630,1585,45,0,1,0,3,1
1,1636,1404,232,0,1,0,3,1
0,1648,1600,48,0,1,0,3,1
0,1636,1649,-13,0,1,0,3,0
1,1643,1386,257,0,1,0,5,1
0,1651,1427,224,0,1,0,3,1
0,1636,1691,-55,0,1,0,3,0
1,1628,1844,-216,0,1,0,3,0
0,1645,1706,-61,0,1,0,3,1
1,1650,1371,279,0,1,0,7,1
1,1658,1478,180,0,1,0,3,1
1,1646,1720,-74,0,1,0,3,0
0,1649,1271,378,0,1,0,3,1
1,1668,1702,-34,0,1,0,3,1
0,1685,1671,14,0,1,0,3,1
0,1670,1706,-36,0,1,0,3,0
1,1660,1789,-129,0,1,0,3,0
0,1673,1626,47,0,1,0,5,1
0,1684,1602,82,0,1,0,3,1
0,1671,1720,-49,0,1,0,3,0
0,1663,1874,-211,0,1,0,3,0
1,1656,1890,-234,0,1,0,3,0
0,1646,1788,-142,0,1,0,3,0
0,1634,1724,-90,0,1,0,3,0
1,1623,1722,-99,0,1,0,3,0
1,1619,1959,-340,0,1,0,3,0
0,1638,1710,-72,0,1,0,3,1
1,1626,1726,-100,0,1,0,3,0
0,1618,1832,-214,0,1,0,3,0
0,1631,1570,61,0,1,0,3,1
1,1643,1544,99,0,1,0,3,1
1,1630,1702,-72,0,1,0,3,0
1,1617,1699,-82,0,1,0,3,0
1,1606,1718,-112,0,1,0,3,0
0,1600,1851,-251,0,1,0,3,0
1,1585,1590,-5,0,1,0,3,0
0,1572,1625,-53,0,1,0,3,0
1,1561,1662,-101,0,1,0,1,0
1,1556,1869,-313,0,1,0,3,0
0,1548,1758,-210,0,1,0,3,0
0,1564,1576,-12,0,1,0,3,1
1,1560,1881,-321,0,1,0,3,0
1,1547,1618,-71,0,1,0,3,0
1,1540,1784,-244,0,1,0,3,0
1,1563,1561,2,0,1,0,3,1
0,1580,1588,-8,0,1,0,3,1
0,1567,1647,-80,0,1,0,3,0
0,1588,1704,-116,0,1,0,3,1
